(A),Javascript,R,ratio
sample1,22,145,6.6
sample2,46,,
sample3,77,,
,,,
(B),Javascript,R,ratio
sample1,23,146,6.3
sample2,50,,
sample3,87,,
,,,
(C),Javascript,R,ratio
sample1,124,30,0.24
sample2,155,62,0.4
sample3,120,47,0.39
"	",,,
(D),Javascript,R,ratio
sample1,126,120,0.95
sample2,157,100,0.64
sample3,122,64,0.52
,,,
(E),Javascript,R,ratio
sample1,7,186,26.6
sample2,15,268,17.9
sample3,87,580,6.7
,,,
(F),Javascript,R,ratio
sample1,11,20640,1876
sample2,22,,
sample3,41,,
